user_time,user_id,movie_id,movie_title,year,rating
2024-12-07T15:10:01,385785,city+of+god+2002,city of god,2002,4
2024-12-07T15:10:02,178951,alyce+kills+2011,alyce kills,2011,3
2024-12-07T15:10:03,66662,das+boot+1981,das boot,1981,3
2024-12-07T15:10:03,455410,city+of+god+2002,city of god,2002,4
2024-12-07T15:10:04,10021,my+kid+could+paint+that+2007,my kid could paint that,2007,4
2024-12-07T15:10:04,166418,the+shawshank+redemption+1994,the shawshank redemption,1994,4
2024-12-07T15:10:05,251387,city+of+god+2002,city of god,2002,5
2024-12-07T15:10:05,293881,das+boot+1981,das boot,1981,4
2024-12-07T15:10:05,441847,harry+potter+and+the+order+of+the+phoenix+2007,harry potter and the order of the phoenix,2007,5
2024-12-07T15:10:06,87139,frozen+2013,frozen,2013,3
2024-12-07T15:10:06,158896,city+of+god+2002,city of god,2002,5
2024-12-07T15:10:06,515001,schindlers+list+1993,schindlers list,1993,4
2024-12-07T15:10:06,262199,the+shawshank+redemption+1994,the shawshank redemption,1994,4
2024-12-07T15:10:07,499764,the+lives+of+others+2006,the lives of others,2006,4
2024-12-07T15:10:07,541705,the+shawshank+redemption+1994,the shawshank redemption,1994,5
2024-12-07T15:10:07,31120,the+shawshank+redemption+1994,the shawshank redemption,1994,4
2024-12-07T15:10:08,120538,the+shawshank+redemption+1994,the shawshank redemption,1994,5
2024-12-07T15:10:08,573943,seven+samurai+1954,seven samurai,1954,4
2024-12-07T15:10:08,11538,amlie+2001,amlie,2001,4
2024-12-07T15:10:08,469649,9th+company+2005,9th company,2005,4
2024-12-07T15:10:09,41225,das+boot+1981,das boot,1981,4
2024-12-07T15:10:09,360375,the+lives+of+others+2006,the lives of others,2006,4
2024-12-07T15:10:09,396075,the+shawshank+redemption+1994,the shawshank redemption,1994,5
2024-12-07T15:10:10,207579,war+photographer+2001,war photographer,2001,5
2024-12-07T15:10:10,175209,pirates+of+the+caribbean+dead+mans+chest+2006,pirates of the caribbean dead mans chest,2006,4
2024-12-07T15:10:10,333151,the+lives+of+others+2006,the lives of others,2006,5
2024-12-07T15:10:12,479181,the+odessa+file+1974,the odessa file,1974,3
2024-12-07T15:10:12,8927,mary+and+max+2009,mary and max,2009,4
2024-12-07T15:10:13,422638,das+boot+1981,das boot,1981,5
2024-12-07T15:10:13,181526,the+shawshank+redemption+1994,the shawshank redemption,1994,5
2024-12-07T15:10:14,588577,the+terminator+1984,the terminator,1984,3
2024-12-07T15:10:14,44537,the+shawshank+redemption+1994,the shawshank redemption,1994,4
2024-12-07T15:10:14,538310,reservoir+dogs+1992,reservoir dogs,1992,3
2024-12-07T15:10:15,128553,das+boot+1981,das boot,1981,3
2024-12-07T15:10:15,257943,the+godfather+1972,the godfather,1972,5
2024-12-07T15:10:15,441100,the+lives+of+others+2006,the lives of others,2006,5
2024-12-07T15:10:15,454927,back+to+the+future+1985,back to the future,1985,3
2024-12-07T15:10:15,215641,the+infidel+2009,the infidel,2009,4
2024-12-07T15:10:16,586292,the+shawshank+redemption+1994,the shawshank redemption,1994,4
2024-12-07T15:10:16,363048,the+shawshank+redemption+1994,the shawshank redemption,1994,5
2024-12-07T15:10:16,154922,all+the+presidents+men+1976,all the presidents men,1976,4
2024-12-07T15:10:17,464693,the+shawshank+redemption+1994,the shawshank redemption,1994,5
2024-12-07T15:10:18,346173,the+usual+suspects+1995,the usual suspects,1995,4
2024-12-07T15:10:18,431679,schindlers+list+1993,schindlers list,1993,5
2024-12-07T15:10:19,229182,the+saltmen+of+tibet+1997,the saltmen of tibet,1997,4
2024-12-07T15:10:20,373523,the+magical+legend+of+the+leprechauns+1999,the magical legend of the leprechauns,1999,4
2024-12-07T15:10:20,387747,seven+samurai+1954,seven samurai,1954,4
2024-12-07T15:10:21,318553,the+godfather+1972,the godfather,1972,5
2024-12-07T15:10:21,414988,the+usual+suspects+1995,the usual suspects,1995,5
2024-12-07T15:10:01,522176,before+the+revolution+1964,before the revolution,1964,4
